ID,fromTime,toTime,noDept,noArr,windAngle,windSpeed,gust,gustSpeed,visibility,ceiling,temp,dewTemp,pressure,plus,minus,SN,PL,RA,TS,GR,BR,HZ,FG,VFR,Marginal,IFR,lowIFR
77159,2014-05-04 00:00:00,2014-05-04 00:30:00,0,1,280,6,0,-1,10.0,120.0,17.0,7.0,30.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77160,2014-05-04 00:30:00,2014-05-04 01:00:00,0,0,280,6,0,-1,10.0,120.0,17.0,7.0,30.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77157,2014-05-04 01:00:00,2014-05-04 01:30:00,0,0,280,6,0,-1,10.0,120.0,17.0,7.0,30.07,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77158,2014-05-04 01:30:00,2014-05-04 02:00:00,0,0,280,6,0,-1,10.0,120.0,17.0,7.0,30.07,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77155,2014-05-04 02:00:00,2014-05-04 02:30:00,0,0,280,5,0,-1,10.0,120.0,16.0,7.0,30.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77156,2014-05-04 02:30:00,2014-05-04 03:00:00,0,1,280,5,0,-1,10.0,120.0,16.0,7.0,30.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77153,2014-05-04 03:00:00,2014-05-04 03:30:00,0,0,280,5,0,-1,10.0,120.0,16.0,7.0,30.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77154,2014-05-04 03:30:00,2014-05-04 04:00:00,0,0,280,5,0,-1,10.0,120.0,16.0,7.0,30.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77151,2014-05-04 04:00:00,2014-05-04 04:30:00,0,0,270,4,0,-1,10.0,120.0,15.0,7.0,30.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77152,2014-05-04 04:30:00,2014-05-04 05:00:00,0,0,270,4,0,-1,10.0,120.0,15.0,7.0,30.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77149,2014-05-04 05:00:00,2014-05-04 05:30:00,0,0,290,6,0,-1,10.0,120.0,14.0,7.0,30.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77150,2014-05-04 05:30:00,2014-05-04 06:00:00,2,4,290,6,0,-1,10.0,120.0,14.0,7.0,30.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77147,2014-05-04 06:00:00,2014-05-04 06:30:00,1,9,290,5,0,-1,10.0,120.0,14.0,8.0,30.07,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77148,2014-05-04 06:30:00,2014-05-04 07:00:00,10,11,290,5,0,-1,10.0,120.0,14.0,8.0,30.07,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77145,2014-05-04 07:00:00,2014-05-04 07:30:00,14,20,280,4,0,-1,10.0,120.0,13.0,8.0,30.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77146,2014-05-04 07:30:00,2014-05-04 08:00:00,13,26,280,4,0,-1,10.0,120.0,13.0,8.0,30.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77143,2014-05-04 08:00:00,2014-05-04 08:30:00,37,38,290,5,0,-1,10.0,120.0,16.0,8.0,30.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77144,2014-05-04 08:30:00,2014-05-04 09:00:00,39,47,290,5,0,-1,10.0,120.0,16.0,8.0,30.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77141,2014-05-04 09:00:00,2014-05-04 09:30:00,32,37,300,7,0,-1,10.0,120.0,18.0,9.0,30.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77142,2014-05-04 09:30:00,2014-05-04 10:00:00,42,40,300,7,0,-1,10.0,120.0,18.0,9.0,30.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77139,2014-05-04 10:00:00,2014-05-04 10:30:00,47,20,310,8,0,-1,10.0,120.0,21.0,9.0,30.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0
