YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DIV_REACHED_DEST
2016,1,10,1/10/2016,F9,20436,420,11292,DEN,"Denver, CO",10397,ATL,"Atlanta, GA",2355,2350,-5,22,12,442,442,0,0,0,167,172,138,1199,
2016,1,10,1/10/2016,DL,19790,1792,14679,SAN,"San Diego, CA",10397,ATL,"Atlanta, GA",2230,2225,-5,12,8,528,511,-17,0,0,238,226,206,1892,
2016,1,10,1/10/2016,DL,19790,1100,12889,LAS,"Las Vegas, NV",10397,ATL,"Atlanta, GA",2300,2302,2,20,4,542,540,-2,0,0,222,218,194,1747,
2016,1,10,1/10/2016,DL,19790,1354,12892,LAX,"Los Angeles, CA",10397,ATL,"Atlanta, GA",2240,2246,6,12,9,546,548,2,0,0,246,242,221,1947,
2016,1,10,1/10/2016,AA,19805,1116,12892,LAX,"Los Angeles, CA",10397,ATL,"Atlanta, GA",2240,2243,3,12,21,603,605,2,0,0,263,262,229,1947,
2016,1,10,1/10/2016,DL,19790,2625,14057,PDX,"Portland, OR",10397,ATL,"Atlanta, GA",2251,2249,-2,14,6,616,622,6,0,0,265,273,253,2172,
2016,1,10,1/10/2016,NK,20416,806,12889,LAS,"Las Vegas, NV",10397,ATL,"Atlanta, GA",2330,2325,-5,14,6,620,627,7,0,0,230,242,222,1747,
2016,1,10,1/10/2016,DL,19790,2324,14869,SLC,"Salt Lake City, UT",10397,ATL,"Atlanta, GA",55,45,-10,38,5,624,630,6,0,0,209,225,182,1590,
2016,1,10,1/10/2016,DL,19790,2224,14831,SJC,"San Jose, CA",10397,ATL,"Atlanta, GA",2315,2303,-12,22,4,639,632,-7,0,0,264,269,243,2116,
2016,1,10,1/10/2016,DL,19790,2284,14771,SFO,"San Francisco, CA",10397,ATL,"Atlanta, GA",2317,2329,12,19,8,641,653,12,0,0,264,264,237,2139,
2016,1,10,1/10/2016,DL,19790,1593,14747,SEA,"Seattle, WA",10397,ATL,"Atlanta, GA",2316,2308,-8,19,5,653,643,-10,0,0,277,275,251,2182,
2016,1,10,1/10/2016,DL,19790,1254,12892,LAX,"Los Angeles, CA",10397,ATL,"Atlanta, GA",2355,2355,0,18,4,701,654,-7,0,0,246,239,217,1947,
2016,1,10,1/10/2016,DL,19790,955,10868,CAE,"Columbia, SC",10397,ATL,"Atlanta, GA",600,558,-2,12,7,711,659,-12,0,0,71,61,42,192,
2016,1,10,1/10/2016,DL,19790,836,12173,HNL,"Honolulu, HI",10397,ATL,"Atlanta, GA",1735,1754,19,15,9,713,700,-13,0,0,518,486,462,4502,
2016,1,10,1/10/2016,EV,20366,4985,11953,GNV,"Gainesville, FL",10397,ATL,"Atlanta, GA",600,556,-4,9,5,718,701,-17,0,0,78,65,51,300,
2016,1,10,1/10/2016,DL,19790,688,12889,LAS,"Las Vegas, NV",10397,ATL,"Atlanta, GA",30,30,0,15,7,721,705,-16,0,0,231,215,193,1747,
2016,1,10,1/10/2016,DL,19790,823,11057,CLT,"Charlotte, NC",10397,ATL,"Atlanta, GA",605,605,0,19,7,721,716,-5,0,0,76,71,45,226,
2016,1,10,1/10/2016,DL,19790,2826,14685,SAV,"Savannah, GA",10397,ATL,"Atlanta, GA",615,609,-6,11,7,724,710,-14,0,0,69,61,43,214,
2016,1,10,1/10/2016,EV,20366,5229,12945,LEX,"Lexington, KY",10397,ATL,"Atlanta, GA",550,545,-5,13,6,726,700,-26,0,0,96,75,56,304,
2016,1,10,1/10/2016,DL,19790,1129,12217,HSV,"Huntsville, AL",10397,ATL,"Atlanta, GA",524,521,-3,22,7,726,725,-1,0,0,62,64,35,151,
2016,1,10,1/10/2016,DL,19790,2273,11995,GSO,"Greensboro/High Point, NC",10397,ATL,"Atlanta, GA",600,602,2,20,6,727,729,2,0,0,87,87,61,306,
2016,1,10,1/10/2016,DL,19790,1456,14492,RDU,"Raleigh/Durham, NC",10397,ATL,"Atlanta, GA",600,600,0,15,9,728,728,0,0,0,88,88,64,356,
2016,1,10,1/10/2016,DL,19790,2517,15624,VPS,"Valparaiso, FL",10397,ATL,"Atlanta, GA",520,516,-4,12,4,728,712,-16,0,0,68,56,40,250,
2016,1,10,1/10/2016,DL,19790,1872,15304,TPA,"Tampa, FL",10397,ATL,"Atlanta, GA",600,557,-3,13,5,729,724,-5,0,0,89,87,69,406,
2016,1,10,1/10/2016,DL,19790,2077,13303,MIA,"Miami, FL",10397,ATL,"Atlanta, GA",530,533,3,13,6,730,716,-14,0,0,120,103,84,594,
2016,1,10,1/10/2016,DL,19790,1092,11996,GSP,"Greer, SC",10397,ATL,"Atlanta, GA",630,627,-3,22,7,732,733,1,0,0,62,66,37,153,
2016,1,10,1/10/2016,DL,19790,1926,10208,AGS,"Augusta, GA",10397,ATL,"Atlanta, GA",630,629,-1,12,6,733,720,-13,0,0,63,51,33,143,
2016,1,10,1/10/2016,DL,19790,960,12339,IND,"Indianapolis, IN",10397,ATL,"Atlanta, GA",550,550,0,51,3,733,754,21,0,0,103,124,70,432,
2016,1,10,1/10/2016,DL,19790,2640,13360,MLB,"Melbourne, FL",10397,ATL,"Atlanta, GA",600,557,-3,9,6,733,718,-15,0,0,93,81,66,442,
2016,1,10,1/10/2016,EV,20366,5128,13277,MGM,"Montgomery, AL",10397,ATL,"Atlanta, GA",540,540,0,5,5,734,725,-9,0,0,54,45,35,147,
2016,1,10,1/10/2016,DL,19790,1362,14986,SRQ,"Sarasota/Bradenton, FL",10397,ATL,"Atlanta, GA",600,557,-3,12,6,735,730,-5,0,0,95,93,75,444,
2016,1,10,1/10/2016,DL,19790,2197,11066,CMH,"Columbus, OH",10397,ATL,"Atlanta, GA",555,555,0,15,7,735,729,-6,0,0,100,94,72,447,
2016,1,10,1/10/2016,DL,19790,2403,10990,CHO,"Charlottesville, VA",10397,ATL,"Atlanta, GA",555,553,-2,13,5,735,735,0,0,0,100,102,84,457,
2016,1,10,1/10/2016,EV,20366,5046,11150,CSG,"Columbus, GA",10397,ATL,"Atlanta, GA",700,650,-10,11,7,747,733,-14,0,0,47,43,25,83,
2016,1,10,1/10/2016,F9,20436,1456,12889,LAS,"Las Vegas, NV",10397,ATL,"Atlanta, GA",55,49,-6,13,5,750,718,-32,0,0,235,209,191,1747,
2016,1,10,1/10/2016,DL,19790,2584,14635,RSW,"Fort Myers, FL",10397,ATL,"Atlanta, GA",600,555,-5,18,5,750,738,-12,0,0,110,103,80,515,
2016,1,10,1/10/2016,DL,19790,1340,10980,CHA,"Chattanooga, TN",10397,ATL,"Atlanta, GA",700,703,3,8,4,753,741,-12,0,0,53,38,26,106,
2016,1,10,1/10/2016,DL,19790,835,14098,PHF,"Newport News/Williamsburg, VA",10397,ATL,"Atlanta, GA",550,548,-2,10,4,754,735,-19,0,0,124,107,93,508,
2016,1,10,1/10/2016,DL,19790,1520,12264,IAD,"Washington, DC",10397,ATL,"Atlanta, GA",600,742,102,11,4,755,931,96,0,0,115,109,94,534,
2016,1,10,1/10/2016,DL,19790,920,14730,SDF,"Louisville, KY",10397,ATL,"Atlanta, GA",630,629,-1,69,13,756,855,59,0,0,86,146,64,321,
2016,1,10,1/10/2016,DL,19790,2261,11267,DAY,"Dayton, OH",10397,ATL,"Atlanta, GA",600,555,-5,15,5,758,733,-25,0,0,118,98,78,432,
2016,1,10,1/10/2016,EV,20366,5518,10781,BTR,"Baton Rouge, LA",10397,ATL,"Atlanta, GA",530,529,-1,15,5,759,750,-9,0,0,89,81,61,448,
2016,1,10,1/10/2016,DL,19790,1518,13204,MCO,"Orlando, FL",10397,ATL,"Atlanta, GA",630,628,-2,14,7,801,750,-11,0,0,91,82,61,404,
2016,1,10,1/10/2016,EV,20366,5501,15607,VLD,"Valdosta, GA",10397,ATL,"Atlanta, GA",700,653,-7,13,5,804,754,-10,0,0,64,61,43,208,
2016,1,10,1/10/2016,DL,19790,1132,15249,TLH,"Tallahassee, FL",10397,ATL,"Atlanta, GA",700,653,-7,13,6,806,753,-13,0,0,66,60,41,223,
2016,1,10,1/10/2016,DL,19790,1234,14193,PNS,"Pensacola, FL",10397,ATL,"Atlanta, GA",600,555,-5,15,5,808,758,-10,0,0,68,63,43,271,
2016,1,10,1/10/2016,DL,19790,793,13422,MOB,"Mobile, AL",10397,ATL,"Atlanta, GA",600,608,8,11,5,809,815,6,0,0,69,67,51,302,
2016,1,10,1/10/2016,DL,19790,1783,10431,AVL,"Asheville, NC",10397,ATL,"Atlanta, GA",700,704,4,15,4,809,759,-10,0,0,69,55,36,164,
2016,1,10,1/10/2016,DL,19790,2353,10874,CAK,"Akron, OH",10397,ATL,"Atlanta, GA",600,557,-3,11,6,810,741,-29,0,0,130,104,87,528,
