YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DIV_REACHED_DEST
2016,1,10,1/10/2016,EV,20366,3260,10397,ATL,"Atlanta, GA",11618,EWR,"Newark, NJ",1137,1140,3,13,7,1355,1338,-17,0,0,138,118,98,746,
2016,1,10,1/10/2016,EV,20366,4917,10397,ATL,"Atlanta, GA",15323,TRI,"Bristol/Johnson City/Kingsport, TN",1159,1207,8,9,4,1258,1304,6,0,0,59,57,44,227,
2016,1,10,1/10/2016,EV,20366,4918,10397,ATL,"Atlanta, GA",15624,VPS,"Valparaiso, FL",1127,1122,-5,16,4,1142,1132,-10,0,0,75,70,50,250,
2016,1,10,1/10/2016,EV,20366,4919,10397,ATL,"Atlanta, GA",14108,PIA,"Peoria, IL",2104,2103,-1,28,4,2158,2200,2,0,0,114,117,85,565,
2016,1,10,1/10/2016,EV,20366,4922,10397,ATL,"Atlanta, GA",13795,OAJ,"Jacksonville/Camp Lejeune, NC",1105,1105,0,18,3,1226,1222,-4,0,0,81,77,56,399,
2016,1,10,1/10/2016,EV,20366,4930,10397,ATL,"Atlanta, GA",14574,ROA,"Roanoke, VA",1220,1220,0,20,4,1337,1337,0,0,0,77,77,53,357,
2016,1,10,1/10/2016,EV,20366,4873,10397,ATL,"Atlanta, GA",11953,GNV,"Gainesville, FL",2230,2228,-2,15,4,2338,2333,-5,0,0,68,65,46,300,
2016,1,10,1/10/2016,EV,20366,4874,10397,ATL,"Atlanta, GA",14814,SHV,"Shreveport, LA",940,939,-1,14,3,1037,1021,-16,0,0,117,102,85,551,
2016,1,10,1/10/2016,EV,20366,4875,10397,ATL,"Atlanta, GA",15249,TLH,"Tallahassee, FL",1824,1822,-2,18,3,1928,1924,-4,0,0,64,62,41,223,
2016,1,10,1/10/2016,EV,20366,4876,10397,ATL,"Atlanta, GA",10781,BTR,"Baton Rouge, LA",1025,1022,-3,13,3,1109,1110,1,0,0,104,108,92,448,
2016,1,10,1/10/2016,EV,20366,4877,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",1055,1122,27,10,5,1145,1159,14,0,0,50,37,22,106,
2016,1,10,1/10/2016,EV,20366,4882,10397,ATL,"Atlanta, GA",14783,SGF,"Springfield, MO",1653,1652,-1,27,4,1750,1750,0,0,0,117,118,87,563,
2016,1,10,1/10/2016,EV,20366,4887,10397,ATL,"Atlanta, GA",10431,AVL,"Asheville, NC",1355,1410,15,17,4,1449,1504,15,0,0,54,54,33,164,
2016,1,10,1/10/2016,EV,20366,4888,10397,ATL,"Atlanta, GA",11982,GRK,"Killeen, TX",1950,1947,-3,30,3,2121,2132,11,0,0,151,165,132,803,
2016,1,10,1/10/2016,EV,20366,4951,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",1015,1011,-4,15,3,1116,1106,-10,0,0,61,55,37,192,
2016,1,10,1/10/2016,EV,20366,4953,10397,ATL,"Atlanta, GA",11953,GNV,"Gainesville, FL",1746,1858,72,10,2,1855,1957,62,0,0,69,59,47,300,
2016,1,10,1/10/2016,EV,20366,4954,10397,ATL,"Atlanta, GA",13422,MOB,"Mobile, AL",1415,1411,-4,17,4,1430,1432,2,0,0,75,81,60,302,
2016,1,10,1/10/2016,EV,20366,4957,10397,ATL,"Atlanta, GA",15624,VPS,"Valparaiso, FL",815,807,-8,10,4,830,809,-21,0,0,75,62,48,250,
2016,1,10,1/10/2016,EV,20366,4961,10397,ATL,"Atlanta, GA",11953,GNV,"Gainesville, FL",1125,1123,-2,20,3,1238,1238,0,0,0,73,75,52,300,
2016,1,10,1/10/2016,EV,20366,4964,10397,ATL,"Atlanta, GA",12945,LEX,"Lexington, KY",1213,1211,-2,16,6,1326,1326,0,0,0,73,75,53,304,
2016,1,10,1/10/2016,EV,20366,4965,10397,ATL,"Atlanta, GA",12197,HPN,"White Plains, NY",940,937,-3,14,3,1155,1136,-19,0,0,135,119,102,780,
2016,1,10,1/10/2016,EV,20366,4967,10397,ATL,"Atlanta, GA",15249,TLH,"Tallahassee, FL",1341,1345,4,16,3,1448,1446,-2,0,0,67,61,42,223,
2016,1,10,1/10/2016,EV,20366,4968,10397,ATL,"Atlanta, GA",13277,MGM,"Montgomery, AL",1209,1208,-1,16,3,1202,1200,-2,0,0,53,52,33,147,
2016,1,10,1/10/2016,EV,20366,4890,10397,ATL,"Atlanta, GA",11995,GSO,"Greensboro/High Point, NC",1739,1739,0,20,3,1851,1849,-2,0,0,72,70,47,306,
2016,1,10,1/10/2016,EV,20366,4891,10397,ATL,"Atlanta, GA",13367,MLI,"Moline, IL",2130,2125,-5,24,3,2225,2223,-2,0,0,115,118,91,633,
2016,1,10,1/10/2016,EV,20366,4892,10397,ATL,"Atlanta, GA",12266,IAH,"Houston, TX",725,721,-4,15,4,846,839,-7,0,0,141,138,119,689,
2016,1,10,1/10/2016,EV,20366,4894,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",1811,1811,0,19,3,1906,1907,1,0,0,55,56,34,192,
2016,1,10,1/10/2016,EV,20366,4895,10397,ATL,"Atlanta, GA",15323,TRI,"Bristol/Johnson City/Kingsport, TN",1411,1409,-2,15,4,1512,1507,-5,0,0,61,58,39,227,
2016,1,10,1/10/2016,EV,20366,4896,10397,ATL,"Atlanta, GA",15323,TRI,"Bristol/Johnson City/Kingsport, TN",1630,1625,-5,19,5,1734,1732,-2,0,0,64,67,43,227,
2016,1,10,1/10/2016,EV,20366,4897,10397,ATL,"Atlanta, GA",11996,GSP,"Greer, SC",1007,1002,-5,25,4,1105,1106,1,0,0,58,64,35,153,
2016,1,10,1/10/2016,EV,20366,4899,10397,ATL,"Atlanta, GA",10781,BTR,"Baton Rouge, LA",1341,1344,3,20,3,1425,1422,-3,0,0,104,98,75,448,
2016,1,10,1/10/2016,EV,20366,4906,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",2205,2158,-7,12,5,2259,2248,-11,0,0,54,50,33,192,
2016,1,10,1/10/2016,EV,20366,4913,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",1600,1600,0,10,3,1647,1636,-11,0,0,47,36,23,106,
2016,1,10,1/10/2016,EV,20366,4914,10397,ATL,"Atlanta, GA",11778,FSM,"Fort Smith, AR",1455,1454,-1,15,3,1555,1536,-19,0,0,120,102,84,579,
2016,1,10,1/10/2016,EV,20366,5134,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",2057,2134,37,17,6,2212,2232,20,0,0,135,118,95,694,
2016,1,10,1/10/2016,EV,20366,4972,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",2315,2309,-6,12,4,2359,2347,-12,0,0,44,38,22,106,
2016,1,10,1/10/2016,EV,20366,4973,10397,ATL,"Atlanta, GA",12007,GTR,"Columbus, MS",1535,1539,4,12,1,1544,1536,-8,0,0,69,57,44,241,
2016,1,10,1/10/2016,EV,20366,4979,10397,ATL,"Atlanta, GA",15919,XNA,"Fayetteville, AR",1400,1434,34,12,5,1500,1519,19,0,0,120,105,88,589,
2016,1,10,1/10/2016,EV,20366,4980,10397,ATL,"Atlanta, GA",11778,FSM,"Fort Smith, AR",2226,2305,39,11,5,2323,2348,25,0,0,117,103,87,579,
2016,1,10,1/10/2016,EV,20366,4986,10397,ATL,"Atlanta, GA",12197,HPN,"White Plains, NY",2045,2044,-1,13,10,2259,2249,-10,0,0,134,125,102,780,
2016,1,10,1/10/2016,EV,20366,4992,10397,ATL,"Atlanta, GA",10731,BQK,"Brunswick, GA",1039,1046,7,11,3,1152,1139,-13,0,0,73,53,39,238,
2016,1,10,1/10/2016,EV,20366,4994,10397,ATL,"Atlanta, GA",14814,SHV,"Shreveport, LA",1915,1915,0,12,3,2010,2004,-6,0,0,115,109,94,551,
2016,1,10,1/10/2016,EV,20366,5006,10397,ATL,"Atlanta, GA",11308,DHN,"Dothan, AL",1344,1352,8,12,3,1341,1340,-1,0,0,57,48,33,170,
2016,1,10,1/10/2016,EV,20366,5007,10397,ATL,"Atlanta, GA",14814,SHV,"Shreveport, LA",1333,1325,-8,12,3,1427,1409,-18,0,0,114,104,89,551,
2016,1,10,1/10/2016,EV,20366,5093,10397,ATL,"Atlanta, GA",11308,DHN,"Dothan, AL",1949,1942,-7,23,4,1947,1941,-6,0,0,58,59,32,170,
2016,1,10,1/10/2016,EV,20366,5095,10397,ATL,"Atlanta, GA",12007,GTR,"Columbus, MS",1952,2215,143,11,2,2002,2209,127,0,0,70,54,41,241,
2016,1,10,1/10/2016,EV,20366,5096,10397,ATL,"Atlanta, GA",13422,MOB,"Mobile, AL",1241,1234,-7,15,3,1258,1256,-2,0,0,77,82,64,302,
2016,1,10,1/10/2016,EV,20366,5098,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",1848,1843,-5,16,2,1936,1927,-9,0,0,48,44,26,106,
2016,1,10,1/10/2016,EV,20366,5106,10397,ATL,"Atlanta, GA",10431,AVL,"Asheville, NC",1815,1812,-3,16,3,1908,1903,-5,0,0,53,51,32,164,
2016,1,10,1/10/2016,EV,20366,5107,10397,ATL,"Atlanta, GA",10208,AGS,"Augusta, GA",1737,1856,79,11,2,1825,1936,71,0,0,48,40,27,143,
2016,1,10,1/10/2016,EV,20366,5111,10397,ATL,"Atlanta, GA",11150,CSG,"Columbus, GA",951,953,2,21,2,1037,1035,-2,0,0,46,42,19,83,
2016,1,10,1/10/2016,EV,20366,5113,10397,ATL,"Atlanta, GA",11308,DHN,"Dothan, AL",1025,1019,-6,15,4,1024,1020,-4,0,0,59,61,42,170,
2016,1,10,1/10/2016,EV,20366,5022,10397,ATL,"Atlanta, GA",12323,ILM,"Wilmington, NC",2224,2216,-8,22,3,2339,2330,-9,0,0,75,74,49,377,
2016,1,10,1/10/2016,EV,20366,5024,10397,ATL,"Atlanta, GA",10208,AGS,"Augusta, GA",1345,1342,-3,12,4,1440,1430,-10,0,0,55,48,32,143,
