YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DIV_REACHED_DEST
2016,1,10,1/10/2016,NK,20416,1013,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",0,553,-7,,,720,,,1,0,80,,,404,
2016,1,10,1/10/2016,UA,19977,685,10397,ATL,"Atlanta, GA",13930,ORD,"Chicago, IL",18,613,-5,17,4,721,659,-22,0,0,123,106,85,606,
2016,1,10,1/10/2016,F9,20436,1462,10397,ATL,"Atlanta, GA",12953,LGA,"New York, NY",30,629,-1,11,6,900,821,-39,0,0,150,112,95,762,
2016,1,10,1/10/2016,F9,20436,429,10397,ATL,"Atlanta, GA",11292,DEN,"Denver, CO",45,641,-4,13,21,827,805,-22,0,0,222,204,170,1199,
2016,1,10,1/10/2016,NK,20416,460,10397,ATL,"Atlanta, GA",13930,ORD,"Chicago, IL",45,659,14,14,11,746,751,5,0,0,121,112,87,606,
2016,1,10,1/10/2016,AA,19805,1127,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",45,644,-1,13,7,837,830,-7,0,0,112,106,86,594,
2016,1,10,1/10/2016,AA,19805,1905,10397,ATL,"Atlanta, GA",11057,CLT,"Charlotte, NC",100,701,1,26,10,814,821,7,0,0,74,80,44,226,
2016,1,10,1/10/2016,AS,19930,749,10397,ATL,"Atlanta, GA",14747,SEA,"Seattle, WA",100,658,-2,13,18,935,914,-21,0,0,335,316,285,2182,
2016,1,10,1/10/2016,NK,20416,557,10397,ATL,"Atlanta, GA",14635,RSW,"Fort Myers, FL",115,712,-3,16,4,848,857,9,0,0,93,105,85,515,
2016,1,10,1/10/2016,AA,19805,2515,10397,ATL,"Atlanta, GA",12892,LAX,"Los Angeles, CA",115,708,-7,10,4,914,846,-28,0,0,299,278,264,1947,
2016,1,10,1/10/2016,EV,20366,4892,10397,ATL,"Atlanta, GA",12266,IAH,"Houston, TX",125,721,-4,15,4,846,839,-7,0,0,141,138,119,689,
2016,1,10,1/10/2016,DL,19790,201,10397,ATL,"Atlanta, GA",12264,IAD,"Washington, DC",125,743,18,19,6,904,916,12,0,0,99,93,68,534,
2016,1,10,1/10/2016,DL,19790,553,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",125,725,0,13,6,918,915,-3,0,0,113,110,91,594,
2016,1,10,1/10/2016,DL,19790,104,10397,ATL,"Atlanta, GA",10721,BOS,"Boston, MA",135,733,-2,16,6,1005,941,-24,0,0,150,128,106,946,
2016,1,10,1/10/2016,NK,20416,231,10397,ATL,"Atlanta, GA",11697,FLL,"Fort Lauderdale, FL",140,823,43,13,14,923,1028,65,0,0,103,125,98,581,
2016,1,10,1/10/2016,AA,19805,1574,10397,ATL,"Atlanta, GA",13930,ORD,"Chicago, IL",144,742,-2,19,8,856,835,-21,0,0,132,113,86,606,
2016,1,10,1/10/2016,DL,19790,986,10397,ATL,"Atlanta, GA",12953,LGA,"New York, NY",145,743,-2,15,5,1000,957,-3,0,0,135,134,114,762,
2016,1,10,1/10/2016,AA,19805,1607,10397,ATL,"Atlanta, GA",11298,DFW,"Dallas/Fort Worth, TX",151,748,-3,12,16,920,917,-3,0,0,149,149,121,731,
2016,1,10,1/10/2016,DL,19790,2226,10397,ATL,"Atlanta, GA",11697,FLL,"Fort Lauderdale, FL",200,757,-3,11,4,945,948,3,0,0,105,111,96,581,
2016,1,10,1/10/2016,EV,20366,5183,10397,ATL,"Atlanta, GA",13277,MGM,"Montgomery, AL",209,808,-1,13,4,805,758,-7,0,0,56,50,33,147,
2016,1,10,1/10/2016,DL,19790,901,10397,ATL,"Atlanta, GA",15016,STL,"St. Louis, MO",209,807,-2,18,4,852,843,-9,0,0,103,96,74,484,
2016,1,10,1/10/2016,WN,19393,1947,10397,ATL,"Atlanta, GA",12191,HOU,"Houston, TX",210,807,-3,10,7,935,926,-9,0,0,145,139,122,696,
2016,1,10,1/10/2016,DL,19790,1279,10397,ATL,"Atlanta, GA",11259,DAL,"Dallas, TX",210,810,0,9,4,929,925,-4,0,0,139,135,122,721,
2016,1,10,1/10/2016,DL,19790,784,10397,ATL,"Atlanta, GA",13487,MSP,"Minneapolis, MN",235,839,4,31,5,1020,1017,-3,0,0,165,158,122,907,
2016,1,10,1/10/2016,DL,19790,1641,10397,ATL,"Atlanta, GA",14683,SAT,"San Antonio, TX",235,1058,143,17,4,1019,1240,141,0,0,164,162,141,874,
2016,1,10,1/10/2016,DL,19790,2310,10397,ATL,"Atlanta, GA",11298,DFW,"Dallas/Fort Worth, TX",240,835,-5,17,12,1009,1006,-3,0,0,149,151,122,731,
2016,1,10,1/10/2016,DL,19790,1240,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",245,843,-2,9,7,1038,1036,-2,0,0,113,113,97,594,
2016,1,10,1/10/2016,DL,19790,2486,10397,ATL,"Atlanta, GA",12953,LGA,"New York, NY",245,840,-5,16,5,1105,1047,-18,0,0,140,127,106,762,
2016,1,10,1/10/2016,DL,19790,954,10397,ATL,"Atlanta, GA",11618,EWR,"Newark, NJ",308,908,0,13,5,1114,1058,-16,0,0,126,110,92,746,
2016,1,10,1/10/2016,DL,19790,1295,10397,ATL,"Atlanta, GA",14122,PIT,"Pittsburgh, PA",309,927,18,11,5,1045,1052,7,0,0,96,85,69,526,
2016,1,10,1/10/2016,NK,20416,252,10397,ATL,"Atlanta, GA",11042,CLE,"Cleveland, OH",310,954,44,18,9,1058,1138,40,0,0,108,104,77,554,
2016,1,10,1/10/2016,DL,19790,1856,10397,ATL,"Atlanta, GA",13360,MLB,"Melbourne, FL",310,908,-2,11,5,1035,1033,-2,0,0,85,85,69,442,
