"Flight_ID","ID","Clearance_Time","Scheduled_Departure","Actual_Departure","Scheduled_Arrival","Actual_Arrival","Actual_Landing","CancelStatus"
"F9_420",1,-4.0,0.0,0.0,6.0,6.0,6.0,0.0
"DL_1792",2,-4.0,0.0,0.0,8.0,8.0,8.0,0.0
"DL_1100",3,-3.0,1.0,1.0,8.0,8.0,8.0,0.0
"DL_1354",4,-3.0,1.0,1.0,9.0,9.0,9.0,0.0
"AA_1116",5,-4.0,0.0,0.0,9.0,9.0,9.0,0.0
"DL_2625",6,-3.0,1.0,1.0,10.0,10.0,10.0,0.0
"NK_806",7,-2.0,2.0,2.0,10.0,10.0,10.0,0.0
"DL_2324",8,-1.0,3.0,3.0,10.0,10.0,10.0,0.0
"DL_2224",9,-3.0,1.0,1.0,10.0,10.0,10.0,0.0
"DL_2284",10,-3.0,1.0,1.0,10.0,10.0,10.0,0.0
"DL_1593",11,-2.0,2.0,2.0,11.0,11.0,11.0,0.0
"DL_1254",12,-1.0,3.0,3.0,11.0,11.0,11.0,0.0
"DL_955",13,5.0,9.0,9.0,11.0,11.0,11.0,0.0
"DL_836",14,-10.0,-6.0,-6.0,11.0,11.0,11.0,0.0
"EV_4985",15,5.0,9.0,9.0,12.0,12.0,12.0,0.0
"DL_688",16,0.0,4.0,4.0,12.0,12.0,12.0,0.0
"DL_823",17,5.0,9.0,9.0,12.0,12.0,12.0,0.0
"DL_2826",18,6.0,10.0,10.0,12.0,12.0,12.0,0.0
"EV_5229",19,5.0,9.0,9.0,12.0,12.0,12.0,0.0
"DL_1129",20,6.0,10.0,10.0,12.0,12.0,12.0,0.0
"DL_2273",21,5.0,9.0,9.0,12.0,12.0,12.0,0.0
"DL_1456",22,5.0,9.0,9.0,12.0,12.0,12.0,0.0
"DL_2517",23,6.0,10.0,10.0,12.0,12.0,12.0,0.0
"DL_1872",24,5.0,9.0,9.0,12.0,12.0,12.0,0.0
"DL_2077",25,4.0,8.0,8.0,12.0,12.0,12.0,0.0
